market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
NEAR-USD,OPEN,LONG,262,262,4.48917175572519083968,,2024-08-27T21:02:30.643Z,23844081,,262,0,0.050086,0,
AVAX-USD,OPEN,LONG,83,83,25.03744578313253012049,,2024-08-25T23:53:35.013Z,23691727,,83,0,0.057396,0,
XRP-USD,OPEN,LONG,2480,2480,0.58462217741935483871,,2024-08-25T01:43:05.841Z,23617924,,2480,0,-0.014778,0,
MATIC-USD,OPEN,LONG,5050,5050,0.48249524752475247525,,2024-08-25T01:42:35.289Z,23617896,,5050,0,0.014838,0,
ATOM-USD,OPEN,LONG,433,433,4.94271362586605080833,,2024-08-24T21:11:07.203Z,23603237,,433,0,0.536325,0,
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.503422,0,
DOGE-USD,OPEN,LONG,18100,18100,0.10625900552486187846,,2024-08-24T18:08:03.875Z,23593240,,18100,0,-0.125765,0,
FIL-USD,OPEN,LONG,393,393,3.99606870229007633589,,2024-08-24T12:59:16.751Z,23576169,,393,0,0.014363,0,
ADA-USD,OPEN,LONG,5050,5050,0.37012871287128712871,,2024-08-24T01:42:04.320Z,23538689,,5050,0,-0.002798,0,
DOT-USD,OPEN,LONG,2066,2066,5.00522507260406582771,,2024-07-22T01:28:19.683Z,20898387,,2066,0,31.848041,0,
DYDX-USD,OPEN,LONG,7424,7424,1.18377761314655172415,,2024-06-07T06:57:45.111Z,17606805,,7424,0,-15.194926,0
ATOM-USD,OPEN,LONG,433,433,4.94271362586605080833,,2024-08-24T21:11:07.203Z,23603237,,433,0,0.537624,0,
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.510682,0,
DOT-USD,OPEN,LONG,2066,2066,5.00522507260406582771,,2024-07-22T01:28:19.683Z,20898387,,2066,0,31.852173,0,
DYDX-USD,OPEN,LONG,7424,7424,1.18377761314655172415,,2024-06-07T06:57:45.111Z,17606805,,7424,0,-15.180078,0
NEAR-USD,OPEN,LONG,262,262,4.48917175572519083968,,2024-08-27T21:02:30.643Z,23844081,,262,0,0.050348,0,
ATOM-USD,OPEN,LONG,433,433,4.94271362586605080833,,2024-08-24T21:11:07.203Z,23603237,,433,0,0.539789,0,
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.520582,0,
DOT-USD,OPEN,LONG,2066,2066,5.00522507260406582771,,2024-07-22T01:28:19.683Z,20898387,,2066,0,31.856305,0,
DYDX-USD,OPEN,LONG,7424,7424,1.18377761314655172415,,2024-06-07T06:57:45.111Z,17606805,,7424,0,-15.113262,0
NEAR-USD,OPEN,LONG,262,262,4.48917175572519083968,,2024-08-27T21:02:30.643Z,23844081,,262,0,0.050872,0,
ATOM-USD,OPEN,LONG,433,433,4.94271362586605080833,,2024-08-24T21:11:07.203Z,23603237,,433,0,0.544119,0,
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.532462,0,
DOT-USD,OPEN,LONG,2066,2066,5.00522507260406582771,,2024-07-22T01:28:19.683Z,20898387,,2066,0,31.862503,0,
DYDX-USD,OPEN,LONG,7424,7424,1.18377761314655172415,,2024-06-07T06:57:45.111Z,17606805,,7424,0,-15.061294,0
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.537082,0,
DOT-USD,OPEN,LONG,2066,2066,5.00522507260406582771,,2024-07-22T01:28:19.683Z,20898387,,2066,0,31.866635,0
NEAR-USD,OPEN,LONG,262,262,4.48917175572519083968,,2024-08-27T21:02:30.643Z,23844081,,262,0,0.052444,0,
BCH-USD,OPEN,LONG,6.6,6.6,342.81151515151515151515,,2024-08-24T18:10:10.421Z,23593355,,6.6,0,1.548962,0,
