market,status,side,size,maxSize,entryPrice,exitPrice,createdAt,createdAtHeight,closedAt,sumOpen,sumClose,netFunding,subaccountNumber
BTC/USDC:USDC,OPEN,,0.01186,,59033.7,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.2672,,2616.24,,,,,,,,,
SOL/USDC:USDC,OPEN,,3.49,,143.2703,,,,,,,,,
BNB/USDC:USDC,OPEN,,1.08,,536.258,,,,,,,,,
ARB/USDC:USDC,OPEN,,932.4,,0.53625,,,,,,,,,
LINK/USDC:USDC,OPEN,,49.2,,10.14932,,,,,,,,,
AAVE/USDC:USDC,OPEN,,4.47,,111.9166,,,,,,,,,
WLD/USDC:USDC,OPEN,,132.6,,1.50824,,,,,,,,,
SEI/USDC:USDC,OPEN,,1132,,0.264666,,,,,,,,,
TON/USDC:USDC,OPEN,,28.8,,6.94283,,,,,,,,
DOT/USDC:USDC,OPEN,,-2.7,,4.3808,,,,,,,,
LTC/USDC:USDC,OPEN,,1.5,,66.312,,,,,,,,
ETH/USDC:USDC,OPEN,,0.306,,2610.18,,,,,,,,,
ARB/USDC:USDC,OPEN,,1121.1,,0.53515,,,,,,,,
LINK/USDC:USDC,OPEN,,59.2,,10.12038,,,,,,,,,
WLD/USDC:USDC,OPEN,,200.3,,1.49771,,,,,,,,
WLD/USDC:USDC,OPEN,,269,,1.4867,,,,,,,,
WLD/USDC:USDC,OPEN,,338,,1.47864,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.4548,,,,,,,,
DOT/USDC:USDC,OPEN,,-20,,4.4557,,,,,,,,
LTC/USDC:USDC,OPEN,,1.5,,66.203,,,,,,,,
SUI/USDC:USDC,OPEN,,112,,0.88998,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5262,,,,,,,,
TON/USDC:USDC,OPEN,,43.5,,6.90473,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5742,,,,,,,,
SUI/USDC:USDC,OPEN,,111.2,,0.90009,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5611,,,,,,,,
SUI/USDC:USDC,OPEN,,221.3,,0.90387,,,,,,,,
SEI/USDC:USDC,OPEN,,361,,0.27662,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.56467,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,567.03,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5609,,,,,,,,
SEI/USDC:USDC,OPEN,,726,,0.275443,,,,,,,,
LINK/USDC:USDC,OPEN,,9.6,,10.438,,,,,,,,
TON/USDC:USDC,OPEN,,47.9,,6.89698,,,,,,,,
SOL/USDC:USDC,OPEN,,0.68,,146.47,,,,,,,,
TON/USDC:USDC,OPEN,,58.2,,6.88343,,,,,,,,
LTC/USDC:USDC,OPEN,,1.5,,66.345,,,,,,,,
LTC/USDC:USDC,OPEN,,3,,66.289,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5519,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5537,,,,,,,,
LTC/USDC:USDC,OPEN,,4.51,,66.1912,,,,,,,,
WLD/USDC:USDC,OPEN,,63.8,,1.5669,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00165,,60521,,,,,,,,,
SEI/USDC:USDC,OPEN,,1095,,0.273976,,,,,,,,
TON/USDC:USDC,OPEN,,73,,6.85952,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5259,,,,,,,,
BTC/USDC:USDC,OPEN,,0.0033,,60495.5,,,,,,,,
LTC/USDC:USDC,OPEN,,6.03,,66.0714,,,,,,,,
DOT/USDC:USDC,OPEN,,-10,,4.5227,,,,,,,,
TON/USDC:USDC,OPEN,,88.1,,6.8214,,,,,,,,
SUI/USDC:USDC,OPEN,,336.4,,0.89223,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0382,,2610.9,,,,,,,,,
LTC/USDC:USDC,OPEN,,7.56,,65.9153,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00497,,60340,,,,,,,,,
SOL/USDC:USDC,OPEN,,1.38,,145.0902,,,,,,,,,
LINK/USDC:USDC,OPEN,,19.3,,10.35607,,,,,,,,,
SEI/USDC:USDC,OPEN,,1469,,0.27234,,,,,,,,
WLD/USDC:USDC,OPEN,,128.5,,1.55657,,,,,,,,
TON/USDC:USDC,OPEN,,103.2,,6.7903,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00667,,59978.4,,,,,,,,,
SOL/USDC:USDC,OPEN,,2.09,,143.8774,,,,,,,,,
SEI/USDC:USDC,OPEN,,1851,,0.270132,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0771,,2588.54,,,,,,,,,
LINK/USDC:USDC,OPEN,,29.2,,10.26315,,,,,,,,
LTC/USDC:USDC,OPEN,,9.1,,65.6715,,,,,,,,,
ARB/USDC:USDC,OPEN,,189.1,,0.52903,,,,,,,,
LTC/USDC:USDC,OPEN,,10.66,,65.3826,,,,,,,,
LTC/USDC:USDC,OPEN,,12.23,,65.1386,,,,,,,,
AAVE/USDC:USDC,OPEN,,0.81,,123.62,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1157,,2588.19,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00836,,59788.5,,,,,,,,,
SOL/USDC:USDC,OPEN,,2.79,,143.6221,,,,,,,,,
LINK/USDC:USDC,OPEN,,39,,10.2503,,,,,,,,,
WLD/USDC:USDC,OPEN,,194,,1.54659,,,,,,,,
ARB/USDC:USDC,OPEN,,376,,0.53226,,,,,,,,
BTC/USDC:USDC,OPEN,,0.01005,,59673.5,,,,,,,,
TON/USDC:USDC,OPEN,,118.2,,6.77609,,,,,,,,
SEI/USDC:USDC,OPEN,,2227,,0.269387,,,,,,,,
SOL/USDC:USDC,OPEN,,3.49,,143.399,,,,,,,,
WLD/USDC:USDC,OPEN,,259.4,,1.54177,,,,,,,,
BNB/USDC:USDC,OPEN,,0.34,,568.015,,,,,,,,
BTC/USDC:USDC,OPEN,,0.01174,,59580.6,,,,,,,,
SEI/USDC:USDC,OPEN,,2604,,0.268762,,,,,,,,
TON/USDC:USDC,OPEN,,133.3,,6.75926,,,,,,,,
SUI/USDC:USDC,OPEN,,452.2,,0.88479,,,,,,,,
WLD/USDC:USDC,OPEN,,325.9,,1.53398,,,,,,,,
WLD/USDC:USDC,OPEN,,391.9,,1.5308,,,,,,,,
BNB/USDC:USDC,OPEN,,0.51,,565.723,,,,,,,,
SOL/USDC:USDC,OPEN,,4.19,,143.2906,,,,,,,,,
SUI/USDC:USDC,OPEN,,567.3,,0.88143,,,,,,,,
BNB/USDC:USDC,OPEN,,0.69,,562.732,,,,,,,,
LINK/USDC:USDC,OPEN,,9.7,,10.305,,,,,,,,
WLD/USDC:USDC,OPEN,,458,,1.52793,,,,,,,,
SOL/USDC:USDC,OPEN,,4.9,,142.9949,,,,,,,,
SEI/USDC:USDC,OPEN,,376,,0.26584,,,,,,,,
SUI/USDC:USDC,OPEN,,685,,0.87605,,,,,,,,
AAVE/USDC:USDC,OPEN,,1.62,,131.02,,,,,,,,
BNB/USDC:USDC,OPEN,,0.87,,560.735,,,,,,,,,
SEI/USDC:USDC,OPEN,,755,,0.264916,,,,,,,,
WLD/USDC:USDC,OPEN,,524.7,,1.5243,,,,,,,,
AAVE/USDC:USDC,OPEN,,2.36,,132.4184,,,,,,,,
SOL/USDC:USDC,OPEN,,5.62,,142.5702,,,,,,,,
LINK/USDC:USDC,OPEN,,19.5,,10.26881,,,,,,,,
TON/USDC:USDC,OPEN,,148.3,,6.75055,,,,,,,,
BTC/USDC:USDC,OPEN,,0.01343,,59506,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.1549,,2577.21,,,,,,,,,
ARB/USDC:USDC,OPEN,,565.3,,0.5309,,,,,,,,,
SUI/USDC:USDC,OPEN,,804.6,,0.87003,,,,,,,,
SEI/USDC:USDC,OPEN,,1139,,0.263484,,,,,,,,
LTC/USDC:USDC,OPEN,,13.83,,64.8291,,,,,,,,
LTC/USDC:USDC,OPEN,,15.43,,64.5535,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.07,,134.0076,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.08,,134.0248,,,,,,,,
TON/USDC:USDC,OPEN,,163.7,,6.72783,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00164,,61007,,,,,,,,
ETH/USDC:USDC,OPEN,,0.038,,2627.8,,,,,,,,
SOL/USDC:USDC,OPEN,,0.7,,143.07,,,,,,,,
SUI/USDC:USDC,OPEN,,922.2,,0.86747,,,,,,,,
BNB/USDC:USDC,OPEN,,0.17,,568.37,,,,,,,,
DOT/USDC:USDC,OPEN,,-21.5,,4.6508,,,,,,,,
SUI/USDC:USDC,OPEN,,1040.4,,0.86512,,,,,,,,
SOL/USDC:USDC,OPEN,,1.4,,142.655,,,,,,,,
LTC/USDC:USDC,OPEN,,17,,64.4769,,,,,,,,
WLD/USDC:USDC,OPEN,,64.2,,1.5578,,,,,,,,
AAVE/USDC:USDC,OPEN,,3.8,,134.8992,,,,,,,,
AAVE/USDC:USDC,OPEN,,4.53,,135.3119,,,,,,,,
AAVE/USDC:USDC,OPEN,,5.26,,135.5517,,,,,,,,
SOL/USDC:USDC,OPEN,,2.11,,142.0543,,,,,,,,
BTC/USDC:USDC,OPEN,,0.00331,,60499.9,,,,,,,,,
ETH/USDC:USDC,OPEN,,0.0766,,2608.75,,,,,,,,
TON/USDC:USDC,OPEN,,179,,6.71237,,,,,,,,
TON/USDC:USDC,OPEN,,194.5,,6.69188,,,,,,,,
SUI/USDC:USDC,OPEN,,1159.2,,0.86273,,,,,,,,
AAVE/USDC:USDC,OPEN,,6,,135.5774,,,,,,,,
AAVE/USDC:USDC,OPEN,,6.74,,135.5063,,,,,,,,
